520 Bridge-Lake Washington,1277
Alki Point Light,479
Anaco Beach,113911
Anacortes Airport,164667
Arlington Airport,1009
Arroyo Heights,164743
Auburn,96375
Avon,96376
Ballenas,1003
Bay View State Park,43639
Bellingham Airport,996
Bellingham Buoy,163932
Birch Bay offshore,43644
Blakely Island,159051
Bloedel,92214
Boundary Bay XBNDci,1437
Bremerton Airport,601
Brown's Point,1226
Buck Knoll,5595
Burrows Bay,84801
Burton,183619
CVBB,151178
CVTS,151176
CW1558 Orting,3098
CW5174 Granite Falls,3634
Cama Beach,100965
Camano Island South,84800
Camano Island,54590
Campbell River,18905
Cap Sante Marina,164756
Center Island,159052
Chatham Point,99665
Cherry Point S Dock,163929
Chrome Island,93666
Clallam Bay,54634
Clover Point,86378
Columbia Beach,164746
Commencement Bay,48545
Comox,1006
Coupeville,113905
Crescent Beach,174029
Crescent Harbor,100962
Dash Point,54612
Diamond Point,161444
Discovery Island,151174
Double Bluff Sunlight Beach,163206
Dungeness Spit,70130
Dungeness,158934
EW4100 Woodinville WA US,130180
EW4664 Port Hadlock WA US,148150
EW7768 Lopez Island WA US,159556
East Lake Sammamish,165024
East Sound,98491
Edison,84808
Elk Lake,49574
Ellis Mountain,5732
Entrance Island,1004
Esquimalt Harbour,1429
Everett Airport,608
FW0091 Squirrel Cove CA,167322
FW3698 Bowen Island CA,180542
Fort Lewis,16210
Fossil Bay,174222
Friday Harbor Airport,631
Friday Harbor UW,4377
Glen Cove,54578
Golden Gardens Light 2,93975
Green Lake,175320
Grief Point Light,89000
Guemes Island,87087
Gulf Islands,175076
Halibut Bank,28305
Hansville Buoy,98734
Happy Hollow,158943
Harstine Island,2000
Hat Island,174987
Heckelville,11432
Hein Bank,2323
Holmes,113917
Hurricane Ridge,162553
Indianola,113898
Jordan River,174184
Juniper Beach,100964
KOSMIC Eaglemount WA US,169415
Kayak Point,1227
Kelp Reefs,16662
La Conner,102182
Lake Cushman,158942
Libbey Beach,113906
Locust Beach West,26840
Locust Beach,43745
Lofall,54602
Lopez Island,84804
Lummi Island,159006
Madeira Park,3001
Marrowstone Point Light,115386
McChord AFB,15899
Merry Island Lightstation,101015
Metchosin,84819
Mount Dallas,159056
Mt. Washington,54526
NS7C-13 Auburn WA US,162488
Nanaimo Beacon,85915
Nanaimo-Cassidy,999
Narrows - Tacoma,69714
Neah Bay Buoy,51724
Olympia,603
Orcas Island Airport,15936
Otter,114317
Ozette Lake,2062
Pearl Island,159053
Pender Island,159066
Perrinville,175030
Pleasant Harbor,2863
Point Roberts,92203
Point Robinson,84115
Point Wells Buoy,98731
Point Wilson Light,1521
Port Angeles Harbor,4373
Port Crescent,1174183
Port Stanley,91931
Port Townsend Ferry,4374
Possession Point,173718
Possession Point,173718
Powell River Arp,100946
Powell River,1007
Pt Roberts,149258
Pt. Defiance Offshore,69713
Pull And Be Damned,158999
Purdy,466
Purdy ,466
Purdy,466
Quadra Island,114311
Qualicum Beach Airport,151181
Qualicum Beach,54525
Race Rocks,628
Renton,607
Richmond Beach,465
Richmond Beach ,465
Richmond Beach,465
Roche Harbor,96454
Rocky Point,157872
Saanichton Puckle,159668
Sail Sand Point,116695
Salt Spring Island,54491
Samish Bay,148816
San Juan Islands,91558
Sand Heads,998
Sandy Pt. Shores,3077
Saturna Island South,67441
Seatac,605
Sechelt,114309
Semiahmoo Park,164768
Sentry Shoal Buoy,28228
Shark Reef,159057
Shelton,602
Sheringham Point,630
Sisters,1005
Skagit,15442
Smith Island,600
Squalicum Harbor,175354
Steamboat Flats Light,93974
Surrey East,82774
Swantown Marina,54621
Tacoma Narrows,604
Ten Mile Point,84817
Toms Creek,111211
Trial Island,87527
Tsawwassen Ferry Terminal,171158
UBC,159058
Union,164735
Vancouver Airport,1000
Vancouver Intl,172154
Vancouver/Boundary Bay,172159
Victoria Airport,993
Victoria Harbour,629
Victoria Intl,172155
Victoria-Gonzales Bay,16671
Viewcrest,159003
Virginia Point,113889
WaWa Point,158940
West Point Light,480
West Sound,164760
Whidbey Island NAS,599
White Rock n,119455
Wing Point,164733
